Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
5,191008,0.71,80.7,-3.82,-3.82,-2.75,-3.82,487,0,-1.29,-1.83,-1.15,-1.27,-1.57,-1.85,-2.23,68.2,93.1
5,191009,1.09,74.2,-4.03,-4.03,-1.81,-4.03,280,0,-0.43,-1.14,-1.53,-1.35,-1.5,-1.6,-2.39,62.2,86.1
5,191010,0.34,62,-4.17,-4.17,-1.67,-4.17,34,127,-0.9,-1.02,-1.49,-1.61,-1.71,-1.67,-2.36,48.2,75.9
5,191011,0.12,55.7,-4.21,-4.21,-1.41,-4.21,8,287,-0.65,-1.19,-1.27,-1.54,-1.7,-1.85,-2.48,42.2,69.2
5,191012,0.11,46.1,-4.14,-4.14,-1.09,-4.14,0,586,-0.72,-1.03,-1.44,-2,-1.83,-1.99,-1.9,33.8,58.3
5,191101,0.53,50.8,-4.02,-4.02,-0.91,-4.02,0,440,0.46,-0.25,-0.7,-1.7,-1.71,-1.8,-1.86,37.2,64.4
5,191102,2.41,48.3,1.51,-2.09,4.54,-0.28,0,468,2.42,2.05,1.54,-0.11,-0.77,-0.93,-1.57,38,58.5
5,191103,1.41,58.4,2.56,-0.67,3.63,2.44,19,224,1.85,2.6,2.29,0.75,-0.54,-0.62,-1.37,45.6,71.3
5,191104,1.89,63.1,3.95,3.95,4.94,3.95,51,108,1.83,2.07,2.61,1.79,0.35,-0.08,-1.09,50.3,76
5,191105,2.22,68.7,4.62,4.62,3.24,4.62,139,24,1.29,1.88,2.12,2.18,0.99,0.4,-0.74,56.1,81.3
5,191106,0.91,78.5,3.97,3.97,-0.53,3.71,405,0,-0.58,0.47,1.22,2.12,1.17,0.15,-0.76,65.3,91.6
5,191107,3.14,77.3,4.71,4.71,3.44,4.71,381,0,1.12,0.54,1.06,2.46,1.81,0.68,-0.65,65.8,88.7
5,191108,1.18,78.4,-0.42,3.8,-1.27,3.26,415,0,-0.54,0.45,0.04,1.4,1.71,0.78,-0.58,66,90.9
5,191109,1.47,75.3,-0.82,2.96,-1.33,1.88,309,0,-0.09,-0.47,0.1,0.68,1.43,0.86,-0.4,63.2,87.4
5,191110,0.22,62,-1.37,2.03,-1.9,0.23,34,127,-1.12,-0.78,-0.96,-0.09,1.11,0.85,-0.39,48.8,75.1
5,191111,0.52,48.9,-1.14,1.91,0.27,0.25,0,483,0.19,-0.85,-0.72,-0.52,0.6,0.95,-0.4,35.4,62.3
5,191112,1.16,39.6,-0.37,2.37,1.97,1.39,0,787,1.32,0.87,-0.18,-0.07,0.49,1.16,-0.32,28.9,50.4
5,191201,0.07,44.6,-0.6,1.85,-0.81,0.62,0,632,-0.96,0.58,0.38,-0.71,-0.02,1.09,-0.33,30.5,58.6
5,191202,0.26,44.7,-0.52,1.68,0.06,0.48,0,568,-0.09,-0.77,0.27,-0.55,-0.43,0.58,-0.27,29.6,59.8
5,191203,0.07,52.1,-0.47,1.5,-0.02,0.33,0,400,-0.81,-0.62,-1.07,-0.67,-0.36,0.22,-0.35,37.2,67.1
5,191204,0.6,60.4,-0.37,1.4,0.14,0.29,24,162,0.45,-0.02,-0.21,0.07,-0.79,-0.11,-0.3,46,74.7
5,191205,0.51,71.2,-0.96,0.63,-1.87,-0.9,202,10,-0.75,-0.43,-0.66,-0.29,-0.76,-0.62,-0.27,55.7,86.7
5,191206,0.93,75.8,-1.19,-1.19,-0.99,-1.19,324,0,-0.55,-0.91,-0.73,-1.1,-0.9,-0.62,-0.46,61.3,90.2
5,191207,2.05,79.2,0.2,-0.86,0.6,-0.39,440,0,0.27,-0.3,-0.67,-0.72,-0.41,-0.9,-0.21,65.7,92.8
5,191208,1.96,78,0.27,-0.69,0.27,0.02,403,0,0.29,0.26,-0.14,-0.5,-0.34,-0.65,0.04,65.9,90.2
5,191209,2.22,70.7,0.4,0.4,0.48,0.4,184,13,0.43,0.36,0.29,-0.19,-0.44,-0.47,0.28,58.4,82.9
5,191210,0.87,62.2,0.14,0.14,-0.66,-0.22,36,123,-0.18,0.13,0.14,-0.31,-0.41,-0.28,0.37,49.2,75.1
5,191211,1.71,49.9,1.16,1.16,3.1,1.16,0,453,1.7,0.7,0.63,0.28,0.02,0.05,0.64,36.5,63.3
5,191212,1.28,39.4,1.85,1.85,2.43,1.85,0,794,1.46,1.92,1.11,0.74,0.33,0.08,0.74,28.6,50.1
5,191301,0.08,42.6,1.46,1.46,-0.58,1.12,0,694,-0.89,0.72,1.45,0.66,0.2,0.06,0.68,29.5,55.6
5,191302,0.83,45.6,1.81,1.81,1.48,1.81,0,543,0.94,0.21,0.9,0.82,0.53,0.24,0.43,33,58.3
5,191303,0.38,50.5,2.19,2.19,1.71,2.19,0,450,0.38,0.75,0.22,0.86,0.69,0.3,0.22,36.4,64.7
5,191304,1.23,60.1,3.08,3.08,3.33,3.08,22,169,1.25,1,1.09,1.44,0.9,0.5,0.1,45.4,74.8
5,191305,0.32,71,2.39,2.39,-1.11,1.88,197,11,-1.16,0.07,0.11,0.55,0.67,0.48,-0.21,55.9,86.2
5,191306,2.72,73.4,3.54,3.54,4.2,3.54,255,0,1.35,0.41,0.79,0.64,1.01,0.9,0.12,61.4,85.4
5,191307,1.26,77.4,3.05,3.05,-0.38,2.84,384,0,-0.58,0.49,-0.13,0.44,0.94,0.67,-0.21,64.2,90.6
5,191308,1.63,75.9,2.74,2.74,0.01,2.48,338,0,-0.02,-0.53,0.26,0.15,0.46,0.59,-0.11,63.5,88.3
5,191309,3.44,66.5,3.46,3.46,2.99,3.46,95,50,1.05,0.74,0.33,0.61,0.55,0.86,0.28,54.6,78.4
5,191310,1.75,60.7,3.66,3.66,1.67,3.66,23,156,0.62,1.03,0.79,0.55,0.78,1.08,0.54,48,73.5
5,191311,1.1,54.4,3.74,3.74,1.38,3.74,5,323,1.04,0.87,1.17,0.96,0.82,0.95,0.64,42.7,66.1
5,191312,0.45,40.9,3.44,3.44,0.25,3.44,0,747,0.22,0.74,0.78,0.59,0.81,0.74,0.42,29.9,51.9
5,191401,0.02,48.7,2.6,2.6,-1.47,1.95,0,505,-1.49,-0.57,0.21,0.74,0.51,0.74,0.41,34,63.3
5,191402,0.11,44.5,2.1,2.1,-0.67,1.15,0,574,-0.6,-1.32,-0.87,0.78,0.68,0.57,0.42,32,56.9
5,191403,0.18,51.2,1.68,1.68,-0.62,0.47,0,428,-0.21,-0.73,-1.29,0.09,0.26,0.51,0.43,35.4,66.9
5,191404,0.65,61.6,1.57,1.57,0.18,0.43,34,136,0.53,0.21,-0.19,-0.04,0.56,0.39,0.44,46.5,76.6
5,191405,2.65,69.3,2.58,2.58,3.51,2.58,153,20,1.63,1.42,1.16,0.52,1.05,0.97,0.87,57.5,81.1
5,191406,3.66,75.9,4.16,4.16,5.53,4.16,327,0,2.03,2.39,2.22,1.36,1.35,1.17,1.4,64.7,87.1
5,191407,3.14,77.6,4.8,4.8,3.21,4.8,391,0,1.12,2.29,2.71,1.91,1.59,1.47,1.54,65.2,90
5,191408,2.88,76.3,5.1,5.1,2.39,5.1,350,0,1.01,1.34,2.23,2.21,1.69,1.72,1.66,64.8,87.8
5,191409,1.46,71.9,4.28,4.28,-0.9,3.88,216,9,-0.1,0.43,0.78,1.77,1.33,1.39,1.51,59.4,84.4
5,191410,2.21,63.3,4.44,4.44,1.8,4.44,50,103,0.95,0.42,0.7,1.85,1.6,1.49,1.66,50.2,76.3
5,191411,1.6,52.6,4.84,4.84,2.56,4.84,0,372,1.59,1.42,0.81,1.8,1.87,1.61,1.68,43,62.1
5,191412,0.99,40,4.9,4.9,1.68,4.9,0,775,1.1,1.63,1.6,1.39,2.05,1.67,1.67,31.2,48.8
5,191501,0.67,40.5,4.67,4.67,0.82,4.67,0,760,0.7,1.04,1.58,1.17,2.15,1.88,1.84,27.9,53.2
5,191502,0.58,47.7,4.44,4.44,0.77,4.44,0,484,0.58,0.63,0.94,0.99,1.86,1.94,1.79,34.2,61.2
5,191503,1.21,46,5.14,5.14,3.47,5.14,0,589,1.64,1.29,1.2,1.76,1.6,2.2,2.01,33.7,58.4
5,191504,1.74,61.5,6.5,6.5,5.67,6.5,33,138,1.71,1.88,1.69,1.9,1.56,2.35,2.2,49.5,73.5
5,191505,0.39,69.2,5.86,5.86,0.1,5.84,150,20,-1,0.59,1.08,1.18,1.17,1.87,2.08,54.5,83.9
5,191506,0.89,79,5.18,5.18,-0.22,5.03,420,0,-0.61,-1.06,-0.01,0.6,1.27,1.35,1.79,63.7,94.2
5,191507,2.3,79.4,5.12,5.12,1.42,5.12,446,0,0.48,-0.13,-0.61,0.61,1.12,1.11,1.89,67.1,91.7
5,191508,1.04,75.3,4.22,4.22,-1.12,3.75,319,0,-0.73,-0.19,-0.59,0.16,0.49,0.72,1.75,63.3,87.4
5,191509,3.27,73.4,4.4,4.4,1.84,4.4,257,5,0.98,0.42,0.44,0.29,0.61,1.13,1.68,60.7,86.1
5,191510,0.03,63.7,-0.83,3.12,-2.49,2.11,56,96,-1.57,0.24,-0.17,-0.54,0.2,0.64,1.38,47.9,79.5
5,191511,0,54.3,-1.26,2.28,-1.54,0.67,5,326,-0.97,-1.85,-0.05,-0.49,0.01,0.24,1.24,36,72.6
5,191512,0.33,47.4,-1.36,1.82,-0.69,-0.01,0,546,-0.05,-0.84,-1.7,-0.33,-0.31,0.06,1.17,31.5,63.3
5,191601,0.22,49.6,-1.71,1.14,-1.46,-1.11,0,477,-0.27,-0.41,-0.99,-0.58,-0.82,-0.09,1.24,34.7,64.4
5,191602,0.1,51.7,-2.06,-2.06,-1.6,-2.06,0,372,-0.65,-0.79,-0.76,-0.42,-0.71,-0.2,1.27,34.1,69.3
5,191603,0.35,60.7,-2.32,-2.32,-1.39,-2.32,36,169,0.31,-0.34,-0.56,-1.56,-0.53,-0.48,1.32,43.4,78
5,191604,0.75,62.6,-1.97,-1.97,0.33,-1.76,45,117,0.68,0.53,0.11,-0.61,-0.55,-0.8,1.38,47.1,78.1
5,191605,0.1,73.8,-2.84,-2.84,-3.24,-2.84,276,0,-1.8,-0.79,-0.64,-0.97,-0.63,-0.89,0.89,56.4,91.3
5,191606,0.52,82.4,-3.53,-3.53,-2.94,-3.53,522,0,-1.28,-1.77,-1.29,-1.39,-2.01,-1.03,0.31,66.1,98.7
5,191607,1.87,78.6,-3.07,-3.07,0.3,-2.89,422,0,0.1,-0.82,-1.38,-1.14,-1.35,-1.06,0.08,66,91.2
5,191608,2.78,77.1,-2.06,-2.06,2.06,-1.02,375,0,0.94,0.64,0,-0.38,-0.59,-0.5,0.08,65.3,88.9
5,191609,1.03,71.6,-2.37,-2.37,-1.56,-1.9,208,10,-0.5,0.19,0.06,-0.64,-0.77,-1.21,0.04,58.5,84.7
5,191610,1.78,64,-1.84,-1.84,0.87,-0.99,60,91,0.64,-0.02,0.35,-0.48,-0.48,-0.69,-0.03,49.9,78.1
5,191611,0.16,49.9,-1.88,-1.88,-0.71,-1.27,0,453,-0.55,0.25,-0.23,-0.27,-0.47,-0.65,-0.31,33.5,66.4
5,191612,0.03,45.4,-2.09,-2.09,-1.21,-1.84,0,608,-1.1,-1.11,-0.12,-0.08,-0.63,-0.74,-0.52,29.1,61.7
5,191701,0.2,45.2,-2.21,-2.21,-0.99,-2.21,0,614,-0.33,-1.18,-1.23,-0.11,-0.82,-0.79,-0.62,31.9,58.6
5,191702,0,50.4,-2.52,-2.52,-1.62,-2.52,0,409,-1.38,-1.1,-1.53,-0.83,-0.63,-0.81,-0.73,32.8,68
5,191703,0.02,54.5,-2.73,-2.73,-1.4,-2.73,6,332,-1.49,-2.45,-1.56,-0.74,-0.44,-0.94,-0.96,36.8,72.2
5,191704,0.08,63.4,-2.97,-2.97,-1.55,-2.97,55,103,-1.26,-3.09,-3.09,-2.24,-0.55,-1.21,-1.27,45.8,80.9
5,191705,0.24,68.8,-3.39,-3.39,-2.18,-3.39,141,23,-1.36,-1.92,-2.83,-3.09,-1.47,-1.16,-1.34,52.6,85
5,191706,0.34,79.2,-4,-4,-2.88,-4,426,0,-1.7,-1.81,-1.97,-2.46,-1.72,-1.22,-1.45,62.3,96.2
5,191707,0.62,82.4,-4.58,-4.58,-2.99,-4.58,539,0,-1.67,-2.34,-2.4,-2.89,-3.09,-1.56,-1.74,67.8,97
5,191708,2.08,79.2,-4,-4,0.33,-3.82,440,0,0.4,-0.68,-1.44,-2.01,-2.52,-1.8,-1.53,65.8,92.7
5,191709,1.74,73.6,-3.82,-3.82,-0.68,-3.82,263,0,0.12,0.19,-0.53,-1.43,-1.68,-1.46,-1.97,60,87.1
5,191710,0,62.4,-4.22,-4.22,-2.39,-4.22,39,119,-1.65,-0.74,-0.42,-1.83,-2.14,-2.27,-1.96,43.8,81
5,191711,0.06,56,-4.32,-4.32,-1.59,-4.32,9,279,-0.81,-1.8,-1.04,-1.6,-2.19,-2.37,-1.98,39.2,72.9
5,191712,0,45,-4.29,-4.29,-1.25,-4.29,0,620,-1.28,-1.4,-2.12,-1.37,-2.16,-2.43,-1.66,27.7,62.2
5,191801,0.73,37.2,-3.56,-3.56,0.85,-3.18,0,862,0.79,-0.1,-0.66,-0.72,-1.88,-2.17,-1.62,23.2,51.1
5,191802,0.05,48.3,-3.4,-3.4,-0.61,-3.19,0,468,-0.93,0.03,-0.57,-1.23,-1.82,-2.26,-1.72,32.7,63.9
5,191803,0.2,58.3,-3.48,-3.48,-1.29,-3.48,19,226,-0.14,-0.85,-0.13,-1.56,-1.41,-2.09,-1.73,42.6,74
5,191804,0.01,62.2,-3.66,-3.66,-1.62,-3.66,40,124,-2.4,-1.25,-1.9,-1.31,-1.12,-2.37,-1.89,47.1,77.4
5,191805,1.49,71.3,-3.14,-3.14,0.43,-2.91,205,9,0.6,0.02,-0.09,-0.43,-1.05,-1.84,-1.74,56.6,86
5,191806,1.14,79.8,-3.17,-3.17,-1.06,-3.17,444,0,-0.25,0.1,-0.28,-0.34,-1.24,-1.4,-1.62,65.7,93.9
5,191807,1.09,81.8,-3.48,-3.48,-1.91,-3.48,521,0,-0.82,-0.97,-0.51,-0.97,-1.07,-1.06,-1.74,67.8,95.8
5,191808,1.81,78.6,-3.16,-3.16,-0.13,-3.15,422,0,0.15,-0.52,-0.71,-0.68,-0.82,-1.14,-1.93,64.8,92.5
5,191809,0.46,70.6,-3.62,-3.62,-2.35,-3.62,182,14,-1.39,-0.74,-1.11,-1.05,-1.04,-1.55,-2.23,55.1,86
5,191810,0.62,64.8,-3.75,-3.75,-1.51,-3.75,72,78,-0.48,-1.41,-0.95,-1.07,-1.36,-1.42,-2.53,50,79.7
5,191811,1.88,48.6,1.21,-2.15,3.63,-0.67,0,492,1.86,0.64,-0.24,-0.69,-0.69,-0.81,-2.11,37.3,59.9
5,191812,0.44,41.8,1.19,-1.82,0.32,-0.23,0,719,0.2,1.42,0.56,-0.59,-0.65,-0.67,-1.63,29.2,54.3
5,191901,0.21,40.1,0.99,-1.72,-0.24,-0.25,0,772,-0.3,-0.23,1.04,-0.35,-0.59,-0.87,-1.66,25.1,55
5,191902,0.08,47.5,0.73,-1.69,-0.47,-0.41,0,490,-0.75,-0.87,-0.64,-0.55,-0.88,-0.86,-1.74,32.1,62.9
5,191903,1.36,54,1.68,1.68,3.06,1.68,5,346,1.8,0.98,0.57,0.59,-0.41,-0.5,-1.5,39.9,68
5,191904,0.83,64.7,2.09,2.09,1.75,2.09,74,83,0.79,1.42,0.98,1.15,0.05,-0.24,-1.41,50.2,79.2
5,191905,1.01,70.8,1.78,1.78,-0.28,1.59,191,11,0.04,0.35,1,0.45,0.04,-0.34,-1.31,55.5,86
5,191906,1.69,74.3,2.01,2.01,1.25,2.01,279,0,0.41,0.16,0.33,0.47,0.6,-0.18,-1.06,60.5,88.1
5,191907,1.31,78.8,1.54,1.54,-0.8,1.1,428,0,-0.52,-0.28,-0.32,0.23,0.61,-0.1,-0.89,65.6,92
5,191908,1.38,80.3,0.94,0.94,-1.32,-0.14,474,0,-0.3,-0.69,-0.49,0.17,-0.06,-0.23,-1,65.7,95
5,191909,5.36,72.3,2.63,2.63,5.34,2.63,226,7,1.78,1.34,0.99,0.92,0.92,0.96,-0.29,60,84.5
5,191910,2.7,65.1,3.53,3.53,3.51,3.53,76,73,1.25,1.92,1.58,1.21,1.32,1.43,0.21,55.2,75.1
5,191911,0.55,53,3.59,3.59,1.27,3.59,0,363,0.25,1.11,1.86,1.27,1.38,1.16,0.29,39.1,66.8
5,191912,0.06,44.4,2.97,2.97,-0.75,2.61,0,639,-0.95,-0.38,0.79,1.12,1.06,1.05,0.2,29.3,59.6
5,192001,1.06,41.2,3.2,3.2,1.61,3.2,0,738,1.21,0.44,0.3,1.52,1.17,1.27,0.26,28.7,53.6
5,192002,0.36,51,2.87,2.87,0.01,2.81,0,392,0.16,0.81,0.26,1.75,1.21,1.33,0.35,38.1,63.9
5,192003,0.07,51.6,2.6,2.6,0.07,2.51,0,415,-0.81,-0.38,0.42,0.7,1.11,1.05,0.3,36.3,67
5,192004,0.11,60.4,2.03,2.03,-0.89,1.52,24,162,-0.99,-1.46,-0.86,-0.25,1.17,0.89,0.32,43.4,77.4
5,192005,1.83,72.3,2.3,2.3,1.44,2.3,233,7,0.94,0.43,0.18,0.22,1.46,1.08,0.43,57.2,87.4
5,192006,2.11,76.8,2.72,2.72,1.95,2.72,354,0,0.82,1.02,0.65,0.63,0.84,1.17,0.61,63.4,90.2
5,192007,1.5,80,2.22,2.22,-0.66,1.88,465,0,-0.29,0.21,0.57,0.09,0.19,1.14,0.68,66,94
5,192008,5.69,76,4.7,4.7,8.13,4.7,341,0,2.53,1.86,2.06,1.6,1.42,1.97,1.35,64.1,87.8
5,192009,1.01,75.3,-0.54,3.67,-1.63,3,309,0,-0.52,1.33,1.04,1.13,1.06,1.16,1.42,60.9,89.6
5,192010,1,64.4,-0.72,3.06,-0.7,2.08,66,84,-0.04,-0.53,1.08,1.13,0.81,0.79,1.44,49.6,79.1
5,192011,1.05,50.9,-0.19,3.21,1.39,2.7,0,423,0.97,0.33,-0.18,1.09,0.95,0.91,1.34,36.6,65.2
5,192012,0.02,45,-0.52,2.52,-1.06,1.59,0,620,-1.16,0.23,-0.05,0.79,0.91,0.88,1.23,28.1,61.9
5,192101,0.1,48.4,-1,1.73,-1.59,0.23,0,515,-0.77,-1.57,-0.21,0.89,0.96,0.67,1.25,32.3,64.6
5,192102,0.77,48.6,-0.73,1.72,0.49,0.41,0,459,0.86,0.16,-0.42,-0.42,0.89,0.78,1.4,32.7,64.6
5,192103,0.3,56.9,-0.91,1.29,-0.76,-0.23,13,264,0.18,0.59,0.09,-0.11,0.71,0.83,1.22,43.9,69.9
5,192104,0.08,61.9,-1.28,0.69,-1.4,-1.16,37,130,-1.26,-0.6,0.06,-0.17,0.76,0.85,1.11,45.8,78.1
5,192105,1.27,72.1,-1.22,0.55,-0.2,-1.21,227,7,0.36,-0.14,-0.14,-0.38,-0.44,0.73,1.16,57.7,86.6
5,192106,2.9,76.6,1.2,1.69,3.59,0.85,348,0,1.49,1.17,0.77,0.58,0.38,0.91,1.4,63.9,89.2
5,192107,1.81,78.1,1.16,1.6,0.25,0.78,406,0,0.04,1,0.89,0.62,0.43,0.92,1.44,66.5,89.6
5,192108,0.68,79.7,-0.86,0.58,-2.58,-0.84,456,0,-1.35,-0.86,0.13,-0.07,-0.21,-0.31,1.3,66,93.3
5,192109,0.87,75.5,-1.56,-1.56,-2.35,-1.56,315,0,-0.69,-1.39,-1.11,-0.43,-0.41,-0.39,0.56,64.4,86.7
5,192110,0.09,65.8,-2.29,-2.29,-2.68,-2.29,88,63,-1.41,-1.58,-1.96,-0.65,-0.65,-0.66,0.1,48.6,83
5,192111,0.05,55.2,-2.56,-2.56,-1.52,-2.56,7,301,-0.83,-1.66,-1.92,-0.93,-0.93,-0.99,0.01,36.5,73.8
5,192112,0.04,49.5,-2.84,-2.84,-1.63,-2.84,0,480,-1.05,-1.33,-1.94,-1.85,-1.06,-0.98,-0.08,33.1,66
5,192201,0.25,42,-2.74,-2.74,-0.58,-2.74,0,713,-0.17,-1,-1.31,-2.45,-1.01,-0.97,-0.24,27.3,56.7
5,192202,0.05,50.1,-2.95,-2.95,-1.46,-2.95,0,417,-0.93,-0.84,-1.3,-2.33,-1.29,-1.23,-0.27,33.6,66.6
5,192203,0.1,54,-3.02,-3.02,-1.14,-3.02,5,346,-0.6,-1.24,-1.07,-1.94,-2.17,-1.3,-0.29,36.4,71.6
5,192204,2.45,63.9,-1.14,-1.14,4.72,0.85,62,95,2.23,1.65,1.19,0.22,-1.28,-0.5,0.12,49.9,77.8
5,192205,0.97,72.7,-1.36,-1.36,-1.01,0.16,244,6,-0.02,1.49,1.18,0.42,-0.76,-0.56,0.01,56.9,88.5
5,192206,1.33,77.8,-1.33,-1.33,-0.32,0.03,384,0,0,-0.16,1.07,0.45,-0.45,-1.16,-0.15,64.8,90.9
5,192207,1.9,81.4,-1.23,-1.23,-0.12,0.06,508,0,0.13,-0.09,-0.19,0.47,-0.01,-0.99,-0.05,67.1,95.7
5,192208,1.02,81.3,-1.83,-1.83,-2.2,-1.25,505,0,-0.76,-0.5,-0.57,0.25,-0.14,-0.87,-0.9,65.9,96.6
5,192209,0.94,74.8,-2.36,-2.36,-2.14,-2.36,297,0,-0.6,-0.99,-0.83,-0.07,-0.33,-0.87,-0.92,59.7,89.9
5,192210,0.83,63.5,-2.42,-2.42,-0.92,-2.42,53,99,-0.22,-0.71,-1.02,-0.91,-0.38,-0.66,-0.94,48.3,78.8
5,192211,0.43,52.5,-2.27,-2.27,-0.3,-2.27,0,375,0.03,-0.32,-0.73,-0.91,-0.27,-0.55,-1.09,39.3,65.7
5,192212,0.01,49.6,-2.61,-2.61,-1.72,-2.61,0,477,-1.22,-0.65,-0.71,-1.09,-0.34,-0.56,-1,33.6,65.5
5,192301,0.79,50.3,-2.42,-2.42,-0.23,-2.42,0,456,0.87,0.01,-0.14,-1.02,-0.91,-0.43,-0.91,36.4,64.2
5,192302,1.62,46.3,0.94,-1.23,2.83,0.07,0,524,1.79,1.67,1.08,-0.1,-0.45,0.04,-0.79,34.2,58.4
5,192303,0.62,50.4,1.61,1.61,2.3,1.61,0,453,0.85,1.64,1.57,0.45,-0.34,0.17,-0.75,35.5,65.2
5,192304,0.75,62.5,2.04,2.04,1.77,2.04,44,119,0.68,0.8,1.42,0.89,-0.19,-0.3,-0.65,49.1,75.9
5,192305,0.08,71.8,-0.96,0.87,-2.87,-0.52,219,8,-1.88,-0.82,-0.35,0.42,-0.26,-0.54,-0.86,55.9,87.8
5,192306,1.17,80,-1.21,-1.21,-1.05,-1.21,450,0,-0.21,-1.09,-0.77,0.39,-0.05,-0.61,-1.2,66.3,93.7
5,192307,1.48,79.5,-1.3,-1.3,-0.66,-1.3,450,0,-0.31,-0.58,-1.2,-0.04,-0.08,-0.68,-1.22,65.9,93
5,192308,2.1,78.3,-1,-1,0.51,-0.62,412,0,0.41,-0.02,-0.26,-0.46,0.06,-0.36,-0.93,65.7,90.9
5,192309,1.3,73.7,-1.36,-1.36,-1.4,-1.36,266,0,-0.23,-0.02,-0.31,-0.71,-0.04,-0.3,-0.85,61.1,86.3
5,192310,2.13,60.8,0.66,-0.57,1.98,0.63,23,154,0.89,0.3,0.33,-0.41,0.14,0.07,-0.43,48.5,73
5,192311,1.1,50.2,1.15,1.15,1.69,1.15,0,444,1.04,1.1,0.52,0.13,-0.03,0.25,-0.24,37.9,62.5
5,192312,1.21,42.9,1.72,1.72,2.06,1.72,0,685,1.37,1.41,1.42,0.49,0.1,0.54,-0.11,32.6,53.3
5,192401,0.03,40,1.32,1.32,-0.67,0.92,0,775,-1.34,0.59,0.89,0.57,-0.11,0.35,-0.16,24,56.1
5,192402,1.24,45.5,2,2,2.44,2,0,546,1.43,0.65,1.13,0.83,0.48,0.27,0.08,31,60
5,192403,0.39,50.9,2.38,2.38,1.77,2.38,0,437,0.4,1.15,0.58,1.28,0.58,0.19,0.11,35.8,66
5,192404,0.2,61.5,2.24,2.24,0.31,2.24,33,138,-0.51,-0.15,0.67,0.87,0.67,0.06,-0.32,45.6,77.4
5,192405,0.85,69.6,-0.05,1.96,-0.16,1.82,160,18,-0.19,-0.5,-0.36,0.45,0.53,0.31,-0.3,53.8,85.4
5,192406,0.08,83,-1.17,0.64,-3.36,-1.05,540,0,-2.6,-1.42,-1.51,-0.86,0.29,0,-0.55,65.8,100.1
5,192407,2.06,81,-0.95,0.67,0.28,-0.81,496,0,0.28,-1.05,-1.02,-0.5,0,0.15,-0.49,66.3,95.6
5,192408,1.16,82.2,-1.53,-1.53,-2.03,-1.53,533,0,-0.57,-0.27,-1.24,-1.21,-0.5,-0.1,-0.43,67.1,97.2
5,192409,1.26,72,-1.78,-1.78,-1.24,-1.78,218,8,-0.27,-0.63,-0.5,-1.21,-0.93,-0.16,-0.35,57.2,86.7
5,192410,1.17,64.5,-1.73,-1.73,-0.39,-1.73,67,83,0.13,-0.24,-0.54,-1.08,-0.78,-0.41,-0.27,48.7,80.2
5,192411,0.02,55.7,-2.1,-2.1,-1.65,-2.1,8,287,-0.92,-0.39,-0.55,-1.2,-1.26,-0.75,-0.36,38.4,73
5,192412,0.17,44.4,-2.15,-2.15,-0.78,-2.15,0,639,-0.5,-1.11,-0.63,-0.78,-1.37,-1.1,-0.38,29.4,59.4
5,192501,0.07,41.5,-2.25,-2.25,-0.96,-2.25,0,728,-0.96,-1.15,-1.44,-1.11,-1.44,-1.12,-0.53,23.4,59.5
5,192502,0.02,53.3,-2.67,-2.67,-1.98,-2.67,0,332,-1.16,-1.47,-1.46,-1.14,-1.63,-1.6,-0.81,36,70.5
5,192503,0.01,59.3,-3.08,-3.08,-2.05,-3.08,25,201,-1.84,-2.23,-2.05,-1.24,-1.2,-1.71,-0.93,40.9,77.6
5,192504,0.81,68.5,-2.82,-2.82,-0.17,-2.82,138,33,0.76,0.2,-0.33,-1.25,-1.22,-1.58,-0.95,52,84.9
5,192505,1.78,72.8,-2.23,-2.23,0.9,-1.79,247,5,0.89,0.95,0.62,-0.16,-0.57,-1.2,-0.62,58,87.7
5,192506,0.32,81,-3.09,-3.09,-3.26,-3.09,480,0,-1.76,-0.32,-0.09,-0.71,-0.89,-1.09,-0.8,66,96.1
5,192507,2.36,81.9,0.27,-2.5,0.82,-2.1,524,0,0.53,-0.56,-0.03,-0.25,-0.68,-0.87,-0.6,67.5,96.4
5,192508,2.87,75.9,1.05,-1.43,2.41,-0.02,338,0,1,0.95,0.22,0.41,-0.02,-0.34,-0.43,63.7,88.1
5,192509,1.82,73.4,0.77,-1.46,-0.52,-0.27,257,5,0.18,0.59,0.62,0.4,0,-0.23,-0.3,60.9,85.8
5,192510,2.14,61.8,1.31,-0.69,1.87,1.16,32,131,0.9,0.55,0.8,0.6,0.39,0.05,-0.29,49.3,74.3
5,192511,0.19,50.1,0.96,-0.84,-0.65,0.68,0,447,-0.48,0.53,0.35,0.27,0.42,0.09,-0.48,34.4,65.9
5,192512,0.06,40.6,0.61,-1,-0.75,0.21,0,756,-0.95,-0.99,0.19,0.53,0.39,0.06,-0.7,27.4,53.8
5,192601,0.58,40.2,0.65,-0.79,0.33,0.46,0,769,0.55,-0.25,-0.61,0.5,0.35,0.18,-0.63,25.8,54.5
5,192602,0.01,52.1,0.11,-1.18,-1.43,-0.37,0,361,-1.26,-0.26,-0.76,-0.02,0.05,0.2,-0.85,35.1,69.1
5,192603,1.89,51.8,1.28,1.28,3.56,1.28,0,409,2.29,1.38,1.22,0.73,0.85,0.67,-0.61,38.3,65.2
